脸红仆仆@成长@苹果的脸红仆仆的，像在诉说着自己的成长	果园里，
嘴@皮鞋@我高兴的嘴就像皮鞋裂了线一样	爸爸说周末带我去游乐园，
等待@煎熬@等待是一种煎熬	它烘烤着誓言。
挫折@指南针@挫折是照明前进的指南针	让我们在迷途中寻找到方向。
生活@碧螺春@生活像碧螺春	清淡却有余香。
瀑布@白练@瀑布如凌空垂下的万米白练	一泻而下，蔚然大观。
绿叶@油彩@桂花树满树的绿叶仿佛涂上了一层绿色的油彩	夏天，
生命@喜剧@生命就像收音机里的喜剧	有时是不照着剧本演的。
月亮@监狱@月亮死一般的寂静，像监狱一般	没有任何生命迹象。
寒风@钢刀@寒风如同一把钢刀	能让你的脸无比的疼痛。
童年@书@童年是一本书	让人记忆犹新。
阅读@大海@阅读如穿梭于浩瀚的大海	使人心情愉快。
阳光@金子@阳光像金子一样撒在草地上	太阳升起来了，
太阳@团@太阳如同一团火球	放射出刺眼的光芒。
眼皮@翅膀@眼皮微动，仿佛蝴蝶扑扇的翅膀	长长的睫毛也跟着颤动。
生命@戏@如果说生命是一场戏	那么时间则是无名主人公，演绎着人生。
唠叨@警醒@唠叨是骄傲时的警醒	为我带来了谦虚。
桂花@位@秋来的桂花盛开了，活像位美丽少女	绽开了花朵。
公路@丝带@公路像丝带一样	飘荡在祖国的大地上。
朋友@明灯@朋友是黑暗里的一盏明灯	照亮你前方的路。
人生@茶@人生像一碗茶	需细细品味。
草坪@绿海@一块块草坪像一片绿海小朋友们像一艘艘小船	徜徉在其中。
心情@大海@我激动的心情犹如大海一样久久不能平复	妈妈要带我去姥姥家玩，
跑道@鸥鸟@飞机迅速地滑向跑道，如一只掠过海面的鸥鸟	冲向蓝天。
父爱@咖啡@父爱像一杯咖啡	第一口是苦的，但是越品越甜。
桃花@脸庞@桃花像少女的脸庞一样绯红	春天来了，
理想@乐章@理想是乐章	谱写动听的音符。
冬天@老人@冬天像沉隐的老人	有苍凉的白发和皱纹，引领我们去思索。
眉毛@柳叶儿@眉毛像柳叶儿一般又细又长	她长得俏眉俊眼，
蜡烛@孩子@蜡烛像个快乐的孩子	闪耀着的火光在欢快的跳跃着。
桃花@少女@粉红的桃花开了，像从沉酣中醒来的少女	带着娇羞的神色对着蓝天梳妆。
人生@道路@人生像道路	有坎坷的，也有平坦的。
小河@蓝绸子@小河清澈见底，如同一条透明的蓝绸子	静静地躺在大地的怀里。
磨难@礁石@磨难是礁石	海水敢于进击才激起美丽的浪花。
祖国@清水@祖国像一汪清水	养育我们长大。
爱心@诗@爱心如一首诗	冰冷中温暖渴求的心房。
叶子@纷飞@树上的叶子像精灵一样四处纷飞	秋风一吹，
眼睛@泓@她的眼睛通透而明亮，如同一泓春水	可爱极了。
诚信@花朵@诚信，是文明的花朵	带给我们希望。
寒风@疼痛@凛冽的寒风，如刀割般疼痛	吹在脸上。
温暖@火焰@温暖像是一团火焰	燃烧在我的心房，让我感到暖暖的。
生活@歌@生活是一首歌	吟唱着人生的悲喜交加，苦乐年华。
大地@轻纱@大地朦朦胧胧的，如笼罩着银灰色的轻纱	天渐渐破晓，
睑上@刀刃@干瘦的睑上，像立起的刀刃	一长条鼻子。
童心@鲜花@童心就是真心，像春日的鲜花一样艳丽	没有任何掩饰。
春风@闹钟@春风像个闹钟	唤醒了睡梦中的奋斗家。
生活@水@生活像一汪水	透射出纯洁的心灵。
滑溜溜@银元宝@饺子滑溜溜，似一个个的银元宝在水中翻滚	胖乎乎。
伙伴@小溪@伙伴是小溪	无声无息，却又必不可少。
寒风@刀@寒风吹在脸上像刀割似的痛	今年的冬天特别冷，
情绪@狂潮@一般绝望的情绪像狂潮一般涌上我的心头	使我感到浑身冰凉。
书@阶梯@只有读有知识的书，就像爬楼梯一样书本中的知识和经验是人类社会前进阶梯	才能进步。
爱心@灯@爱心如一盏灯	黑暗中照亮前行的远方。
运河@慈母亲@运河是民族的慈母亲	它哺育着千千万万的好儿女。
母亲@太阳@母亲像明亮的太阳	让我心中温暖。
母爱@被@母爱是一床绵被	使你安然入梦。
风筝@理想@风筝是理想	在天空翱翔。
友谊@荷花@友谊就是一朵荷花	出淤泥而不染。
尾巴@绳子子@猴子的尾巴像绳子子	可以掉在树枝上不掉下来。
苹果@时光@青苹果像那懵懂年少时光	看上去很诱人，吃起来却涩涩的。
宽容@丝绳@宽容，像一根彩色的丝绳	为我编织色彩斑斓的童年。
母亲@清泉@母亲像一泓清泉	即使心灵岁月的风尘蒙沙，也能让你清澈澄净。
长江@马@奔腾不息的长江像一匹匹脱缰的马	不断地冲击着堤岸。
树@少女@把石榴树打扮得像含羞的少女	一朵朵鲜红的石榴花挂在树上，
星星@灯笼@夜晚的星星像黑暗中的灯笼	可以照亮回家的路。
小露珠@小孩子@每片叶子上都有几滴晶莹的小露珠，它们像顽皮的小孩子似的	在圆盘上滚来滚去。
星光@明珠@点点的星光好似颗颗明珠	镶嵌在天幕下，闪闪地发着光。
春天@法师@春天像一个法师	它给了太阳火热的力量与冷酷的冬天决战到底。
人生@战斗@人生是一次战斗	要得到胜利不仅要有力量和勇敢，还要有智慧和坚强。
河水@孩童@河水很轻盈，像一个乖巧的孩童	有时，
母爱@伞@母爱像一把伞	罩在风雨之中。
朋友@绿茶@有的朋友像绿茶	清凉解渴，总在最需要的时候出现在你身边。
池塘@公鸡@这朵荷花在池塘里，像一只公鸡一样	金鸡独立。
家@明星@家像黎明前的启明星	照亮旅人前进的道路。
秋天@地毯@秋天像个金黄色的地毯	铺在大地上。
一切@样子@一切都像刚睡醒的样子	欣欣然张开了眼。
形状@长方体@书包的形状像个高高的长方体	两边还“长”着一对“小耳朵”。
生命@萤火虫@生命是细细黑黑的萤火虫	竟能在茫茫黑夜里发出星星般闪亮的光。
亲情@指明灯@亲情是一盏指明灯	在漆黑的夜晚可以给你点亮前方。
蝴蝶@孩子@蝴蝶像个贪玩的女孩子	用自身的花衣服和花朵比美，在花丛中飞来飞去。
苇絮@天使@苇絮像美丽的小天使一样飘飘悠悠地在空中跳舞	风一吹，
友情@佳叶@友情就如随风而落的佳叶	构成了金秋时节的一道亮丽的风景线。
吊兰@辫子@小的吊兰像少女漂亮的小辫子	上面还扎了一个淡色的蝴蝶结。
田野@海@田野像夕阳下的海	闪耀着璀璨的金色。
书@明灯@书是明灯	能打开黑夜之门。
记忆@花园@记忆像一个五彩缤纷的花园	里面记录着小时候的欢乐。
勤奋@风@勤奋是风	卷来遮阳的云。
小鸟@小狗@小鸟像小狗一样	在树上叽叽喳喳地叫。
棉田@棉被@盛开着千千万万棉花的棉田像大大的棉被	放眼望去，
月亮@小船@弯弯的月亮像小船一样挂在天上	闪烁着金色的光芒。
胡子@银丝@他的头发胡子全白了，如银丝一般	闪着晶莹的白光。
白发@白雪@他那满头白发像白雪一样	仿佛能够看出沧桑。
勤劳@小船@勤劳是小船	载我们到达知识的彼岸。
友谊@那@友谊是午睡初醒的那杯清茶	用无限的甘甜滋润每一份快乐心情。
春天@梦@春天像一个绚丽的梦	指引我们走向更美好的明天。
稻田@宫殿@秋天的稻田像金色的宫殿	闪闪发光。
父亲@儿子@父亲是土地的儿子	更是土地的诗人。
时间@橡皮@时间像一块橡皮	它能擦去往日的忧伤。
车子@一起@过往的车子好像在约在一起聚会一样	每天这个时候，久久都不愿离开，
理想@灯@理想就好像一盏指明方向的灯	指引我们迈向成功。
真情@歌@真情是一首歌	响彻我的生命。
宽容@凉风@宽容是一阵在夏日里的凉风	使痛苦的人感到清爽。
她@蒲公英@她心里喜盈盈，如路旁盛开的蒲公英和猫眼花	乐洋洋。
蝌蚪@风筝@小蝌蚪大头小尾，像一个小风筝	真可爱。
爱心@阳光@所谓爱心是一片照耀在冬日的阳光	使贫病交迫的人感到人间的温暖。
朋友@电扇@朋友是炎热夏天里的电扇	吹凉你全身。
太阳@大姑娘@初春的太阳像个大姑娘似的	恼羞地露着半个红通通的脸蛋向我微笑。
学校@音符@学校是一个个音符	串联起我童年的梦想。
母爱@老师@母爱像威严的老师	让我学会了怎样做人。
秋天@储存柜@秋天好像个储存柜	所有的动物都在为冬天贮粮食。
家@黄河@家像黄河之水	孕育和养育着我们。
花都@火焰@油光碧绿的树叶中间托出千百朵重瓣的大花，每朵花都像一团烧得正旺的火焰	那样红艳。
它@白酒@它像白酒	辛辣而热烈，让人醉在其中。
树叶@羽毛@椰子树叶像长长的羽毛一样，没风时也飘逸秀美	有风时树影婆娑。
翠鸟@箭似@翠鸟像离弦的箭似的	从芦苇上飞过去，一下子叼起了小鱼。
亲情@指路牌@亲情，像迷茫中的一块指路牌	为你指引前方的道路。
友情@甘霖@友情是一场甘霖	是人受到心灵的滋润。
唠叨@海@唠叨是海	包容一切错误。
花儿@小精灵@花儿像一个可爱的小精灵	在花丛中顺着风在婀娜摇摆。
大厦@白天鹅@刚落成的五层华侨大厦，像只白天鹅似的	昂首挺立在小镇的南端。
童年@彩虹@童年像雨后的彩虹	色彩缤纷。
人生@道路@人生是道路	有坎坷的，也有平坦的。
勇敢@力量@勇敢就像一股力量	推着我不断前进，克服困难。
希翼@水@按捺不下的好奇心和希翼像火炉上烧滚的水	虽然这么说，勃勃的掀动壶盖，
友情@浓荫@友情是沙漠中的一抹浓荫	悄悄地为你撒下人生的清爽。
星星@钻石@天上的星星像一颗颗洒在夜的黑色礼服上的钻石	明亮又耀眼。
家庭@手@家庭是一只隐行的手	你站立不稳的时候它扶住你。
人类@种子@如果说人类是种子，滋润着这颗幼小的种子	那么黄河便是那湿润的水露。
痛苦@缆绳@痛苦，像一根缆绳	弯来绕去拧住我的心。
小河@巨龙@家乡的小河像一条的巨龙	蜿蜒游动着。
照射@舌头@小草在烈日的照射下，好像吐着舌头一样	趴下了腰。
生命@马灯@生命有如跑马灯	需要不停的运转，不停表现。
地上@火@地上像已着了火	太阳刚一出头，
红旗@烈马@红旗如烈马	在风中疾驰。
善良@微风@善良是酷暑的微风	给闷热的人一丝期待的凉。
断崖@交响乐@瀑布从断崖飞流直下，仿佛在演奏一曲交响乐	发出哗哗的响声。
雪花@棉花@雪花像洁白的棉花漫天飞舞	冬天来了，
目标@瀑布@目标是飞泻的瀑布	逆流上，
没有@牛奶糖@一点风都没有，像几块香甜的牛奶糖	那疏疏落落的几团云朵。
鲜花@舞者@一朵朵鲜花像曼妙的舞者	笑脸盈盈的在迎风摆动着。
母亲@歌曲@母亲像一首歌曲	唱走烦恼，唱来愉悦。
太阳@火球@太阳就悬在高空像一个大火球灼热、耀眼一切生物好像都在蒸笼里	闷热难忍。
童年@万花筒@童年像只五彩缤纷的万花筒	装满我许多趣事，傻事。
父爱@北斗@父爱是北斗	即使在伸手不见五指的夜里，也能让我辨明方向。
稻田@海洋@秋天的稻田像广袤的海洋波涛暗涌	泛起层层叠叠的金色的梦。
她@欢乐@她是我童年的欢乐	是我美丽的记忆。
手@戒尺@妈妈的手是一把戒尺	时刻提醒你不要后退。
海浪@礁石@一排排海浪像千军万马似的拍打在礁石上	涨潮了，发出了山崩地裂的声音，
苹果@灯笼@红红的苹果像小灯笼一样挂在树上	秋天到了，
祖国@画卷@祖国像一幅美妙的画卷	在淡淡的笔墨中氤氲出一片出尘绝世的美。
星星@碎银@一颗一颗的小星星，像洒在蓝布上面的碎银	晶莹透亮。
回忆@照片@回忆是一帧照片	一帧发黄退色的老照片。
一丝风@镜子@湖面上一丝风也没有，平静得像是一面无瑕的镜子	没有一点儿波纹。
校园@大树@美丽的校园像一棵葱郁的大树	陪伴学生们成长。
树叶@蝴蝶@一片片树叶如同一只只黄蝴蝶从树上慢慢飘落下来	秋天到了，
思念@流水@思念是涓涓的流水	等待你旋开苦尽甘来的阀门。
汗@下雨@她热的汗像下雨一样	顺着脸颊往下直流，像断了线的珠子。
爸爸@高山@爸爸是高山	即使在最困难的时候，也鼓励我挺直脊梁。
大潮@奔腾@钱塘江大潮如千军万马般奔腾着	咆哮着，滚滚而来。
逆境@诗@逆境就是一首诗	读懂它你会有更深的感触。
树@少年@春天的树像一个个健壮的少年	生机勃勃。
云@翅膀@天空中的火烧云渐渐回归了洁白，如天使的翅膀	太阳坠下了地平线，
母爱@快乐@母爱是悲伤时的一份快乐	让我露出笑脸。
小河@蓝绸子@小河清澈见底，如同一条透明的蓝绸子	静静地躺在大地的怀抱里。
机会@诗@机会是一首诗	充满着“大江东去浪淘尽”的豪情。
老师@线@老师像一根引导线	把我们引向更新的未来。
母亲@蜡烛@母亲是蜡烛	让我得到光明却牺牲了自己。
作业@石头@无法做完的作业像一块大石头压在了我身上	让我喘不过气来。
天空@水晶@天空如一块纯净的蓝水晶	闪着醉人的光芒。
大海@朋友@大海像我朋友	最好的知己，我们一起快乐的生活着。
进步@大山@进步就像爬大山	每上到一个高度，都要付出努力。
树叶@信件@一片片树叶像树寄给大地的泛黄的信件	秋天的脚步近了，一封封寄达，
雪花@蒲公英@那飞舞的雪花一朵又一朵像漫天的蒲公英	在苍茫的夜空中颤动、沉浮、荡漾。
感恩@泉水@感恩是一眼潺潺流动的泉水	使饥渴的行人感到人生旅途的甘甜。
柳枝@蕾丝@路边的柳枝像女孩子裙摆下面的蕾丝一样	在风中摇曳出一片动人的风情。
秋天@老者@秋天像慈爱的老者	枝枝叶叶都在诉说春夏的故事。
天@火里烤@天热得像在火里烤	树上的知了不停地叫，沥青马路被太阳烤得软绵绵的。
头发@喜鹊窝@他的头发有2寸来长，像个喜鹊窝	乱蓬蓬的。
母亲@航帆@母亲是鼓起航帆	让我顺利的到达彼岸。
绿萝@淑女@整株绿萝就像一位披着长发的美丽的淑女	远看，亭亭玉立，
母亲@清泉@母亲像润泽儿女心灵的一眼清泉	是一生相伴的盈盈笑语。
样子@壳@车身的样子像是一个乌龟的壳	银白色的炮筒像是一把枪。
落叶@黄斑@秋天的落叶像一片片黄斑地毯	软软绵绵，铺满大地。
天空@火海@大片大片的朝霞从东方燃烧起来了，东方天空像一片火海	灿烂而壮观。
宽容@灯@宽容是灯	点亮了几多人的希望。
生活@灯@生活是孔明的灯	生活是美好未来的诠释。
荷花@水@粉红的荷花像一位位身穿红衣的少女挺立水中	千姿百态，散发着淡淡的清香。
灯塔@雨@灯塔像雨	能帮我洗掉烦恼，留下清凉。
阅读@阶梯@阅读，是一把阶梯	让我通向辉煌的成功。
仿佛@荷花@我忽然觉得自己仿佛是一朵荷花	穿着雪白的衣裳站在阳光里。
月亮@水@月光如水	照在平滑如镜的湖面上。
姿态@香蕉@玉兰花一朵有一朵的姿态像香蕉	有褐色的花馨。
感恩@热茶@感恩是冬天里的热茶	温暖人间。
快乐@海@快乐是一片海	无拘无束。
生活@一面@生活像一面镜子	走进生活，世间善恶美丑都可以映出来。
紫色@宝石@葡萄皮是紫色的，像一颗颗紫玉似的宝石	晶莹剔透。
生命@河流@生命像河流	静静流淌，在流淌中享受着沿途的风景。
生命@小诗@生命是精美的小诗	清新流畅，意蕴悠长。
青春@茶@青春像一杯茶	苦涩中带着一丝清甜。
冬天@画@冬天像一幅画	片片雪花，是着色的画笔。
溪水@孩子@清清的溪水像个淘气的孩子	欢快的跑着跳着，还唱着歌。
灯塔@太阳@灯塔像太阳	使世界万物感受到温暖。
形状@眉毛@柳树抽出了新叶，柳叶的形状就像眉毛一样好看	春天来了，
语文@宇宙@语文像宇宙一样浩瀚	你可以在太空中发现银河系的广阔，也可以在河外星系看到太空的奥妙。
雪花@小精灵@雪花像一群心爱的小精灵在空中翩翩起舞像柳絮相同轻	被风刮得在空中打着旋儿。
歌声@阳光@歌声，如同一缕灿烂的阳光	照亮你的心扉。
喜欢@风@喜欢是风	卷起浓密的云。
人生@山@人生像一座山	重要的不是它的高低，而在于灵秀。
太阳@媳妇@太阳像个刚出门的新媳妇	早晨，羞答答地露出半个脸来，
生命@下棋@生命就像下棋	每一步都要深思熟虑，方有胜算。
母爱@卫士@母爱是尽职的卫士	保护着幼小的生命。
秀发@丝质@她的一头秀发是深色的，像丝质似的光润	走起路来富有弹性地飘动着。
柿子@灯笼@鲜红的柿子像一个个小灯笼	果园里，高高的挂在枝头，
懒惰@宝剑@懒惰像那锋利的宝剑	在人的额头刻下永恒的瞬间。
人@蚂蚁@人挨人，像蚂蚁一样多	人挤人。
站在@麻杆@他很瘦，站在那儿像一根麻杆	简直一阵风就能把他吹倒。
关爱@灯@关爱是一盏明亮的灯	照亮人们美好的未来。
云雾@风儿@黄山的云雾千变万化，就像风儿在变魔术	起风了，
黄河@蛟龙@黄河就像一条蛟龙一头钻进壶口又一泻千里翻江倒海地一泻千里	再看那闻名中外的黄河壶口瀑布，
家庭@大衣@家庭像大衣一件	不会提高温度，但却给予人们连火炉都不能替代的温暖。
父亲@全面@父亲对我的爱是全面的	是无微不至的。
母亲@铅笔@母亲的爱，像一支默默无闻的铅笔	悄悄画出我未来的宏伟蓝图。
树@士兵@有两棵石榴树，它们好像两个日夜守护着花坛的士兵	花坛两边，
山@龙@这座山真高，好似一条腾飞的龙	高耸入云。
露珠@珍珠@挂着一滴滴晶莹的露珠，像挂着一颗颗闪光的珍珠	绿色的竹叶长出来了，
湖水@钻石@阳光照耀着湖水，好像无数钻石散落湖面	发出耀眼的光芒。
麻雀@女孩@树上的麻雀像一群多话的女孩	吱吱喳喳叫个不停。
风@刀@风刮在脸上像刀割一样	今天冷极了，
植物@意境@一片绿油油的植物好像是庄稼种的小麦大片大片的别有一番意境像是到了辽阔的大草原	只有一望无际绿色，象征着生命。
水稻@孩子@摊满场面的带着油性的金黄水稻，像舒坦地躺着千千万万的孩子	顽皮可爱的挤弄着小眼睛。
利剑@大战@那些兵马俑有的擎着利剑，好像一场大战就在眼前	手拿盾牌。
真情@阳光@真情是冬日的阳光	温暖我的世界。
布谷鸟@是@布谷鸟像是在诉说着什么	在我耳边不停的呼唤着。
人生@书@人生是一本书	应该多一些精彩的细节，少一些乏味的字眼。
葡萄@宝石@一颗葡萄像一颗小小的宝石	秋天到了葡萄成熟了，有甜的酸的。
月光@银子@月光如银子	无处不可照及，山上竹篁在月光下变成了一片黑色。
黄@牙齿@露出一口黄得像上了釉的牙齿	他嘴角微微向下一牵，
母爱@太阳@母爱像明亮的太阳	让我看到了光明。
坚韧@水滴@坚韧是水滴锲而不舍	凿穿磐石。
皱纹@草纸@妈妈的脸上布满皱纹，就像一团揉皱的草纸	上面写满沧桑。
昙花@宫灯@昙花开了，像一盏精致美丽的宫灯	散发出一股清香。
友谊@花@友谊像花	需要我们精心呵护。
狐狸@公鸡@小狐狸像战败的公鸡	悄悄地走了。
人@经验@成功的人是跟别人学习经验	失败的人只跟自己学习经验。
母爱@河水@母爱啊，你是河水	我是你怀抱里的一条游鱼。
亲情@云朵@亲情是一点云朵	在你落寞时，为你绣上一朵美丽的花朵。
金钱@衣服@金钱像女人的衣服	永远都是不够穿的。
知识@泉水@知识是沙漠中的一泓泉水	使濒临绝境的人重新看到生活的希望。
麦苗@海@大田里的麦苗像一片海	星罗棋布的村庄是不沉的舟。
眼睛@野兽@他两只发亮的眼睛像受惊的小野兽一样	睁得大大的。
爱心@春雨@爱心是一片洒落在旱地上的春雨	使心灵枯萎的人尝到情感的甜美。
嗓子@舞台@鸟儿放开嗓子鸣叫起来，就像出色的音乐家在被围得水泻不通的舞台上尽情发挥	好听极了。
母爱@和风@母爱如春天的和风	温柔无比。
时间@白驹过隙@时间像白驹过隙	一眨眼便过去了。
彩云@绵羊@天上的彩云犹如一个雪白的绵羊	又似一个大大的棉花糖。
蓝光@水晶@反射着苍弯的水晶似的蓝光	碧绿的河面上，
书籍@翅膀@书籍如同翅膀一般	带我遨游知识的天空。
小河@狭径@光亮的小河，像一条狭径	在起伏不平的田野上面蜿蜒着。
梧桐叶@手掌@金黄色的梧桐叶像手掌	拍呀拍呀，送来了秋天序曲。
花瓣@蝴蝶@花瓣好像一只只蝴蝶在飞舞	桃花开了，微风吹拂，
银丝@冠羽@他有一头美丽的银丝，如白鹦鹉的冠羽	冲向前额。
稻谷@金粉@那稻谷般黄的是梨黄得像涂了一层金粉远远望去像一只只葫芦挂在那儿	金灿灿的。
雪花@针扎@雪花疯狂的咆哮着，打在脸上如同针扎一般	冰凉刺骨。
谷穗@头@成熟的谷穗都是低着头的	空虚的谷穗才会昂着头。
朝霞@水彩@一抹瑰丽的朝霞，像溶化的水彩	令人神怡地在地平线上朦胧地渗开。
手@毛巾@妈妈的手是一条干爽的毛巾	为我拂去心中的泪水。
勤奋@大炮@勤奋是大炮	可以摧毁学习的障碍。
喜欢@灯@喜欢是一盏灯	黑暗中照亮前行的远方。
爱@指路灯@爱是一盏指路灯	驱走迷茫。
时候@树林@雨声小的时候，听起来像黄鹂清脆的歌声在树林里不断回荡	轻快活泼。
稻子@金子@田野里的稻子都熟了，仿佛是一块大金子	黄澄澄的。
爱@明灯@爱是一盏明灯	亮了黑夜，暖了心田。
春雨@老师@春雨像老师	用辛勤的汗水哺育学生们。
太阳@婴儿@初升的太阳，像一位刚出生的婴儿	对一切都充满好奇。
喷泉@小孩子@音乐喷泉像一个淘气的小孩子	时而欢歌，时而跳舞。
月亮@碧玉盘@月亮升起来了，像碧玉盘一般	皎洁的月光照在湖面上。
妈妈@信使@妈妈是和平的信使	给邻里之间带来了和睦。
友情@宝石@友情是美丽无价的宝石	让人无限珍惜。
春风@彩笔@春风像一只彩笔	把整个世界勾画得绚丽多彩。
奋斗@船桨@奋斗是一支搏击风浪的船桨	帮助着我们不断的前行。
春天@碧玉@春天来了，绿得像一块碧玉	桃花红了。
腊梅@黄衣@那一朵朵向下垂的腊梅，像几位身穿黄衣	亭亭玉立的害羞的仙女。
